TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
2017,0211,0211,05:40:00,05:40:30,G
2019,0211,0211,05:50:00,05:50:30,G
2023,0211,0211,06:00:00,06:00:30,G
2027,0211,0211,06:10:00,06:10:30,G
2029,0211,0211,06:17:00,06:17:30,G
2033,0211,0211,06:25:00,06:25:30,G
2035,0211,0211,06:31:00,06:31:30,G
2037,0211,0211,06:37:00,06:37:30,G
2039,0211,0211,06:43:00,06:43:30,G
2041,0211,0211,06:49:00,06:49:30,G
2043,0211,0211,06:54:00,06:54:30,G
2045,0211,0211,07:01:00,07:01:30,G
2047,0211,0211,07:05:00,07:05:30,G
2049,0211,0211,07:09:00,07:09:30,G
2051,0211,0211,07:15:00,07:15:30,G
2053,0211,0211,07:21:00,07:21:30,G
2055,0211,0211,07:26:00,07:26:30,G
2057,0211,0211,07:32:30,07:33:00,G
2059,0211,0211,07:38:00,07:38:30,G
2061,0211,0211,07:43:30,07:44:00,G
2063,0211,0211,07:49:00,07:49:30,G
2065,0211,0211,07:54:30,07:55:00,G
2067,0211,0234,07:59:00,07:59:30,G
2071,0211,0211,08:05:30,08:06:00,G
2073,0211,0211,08:11:00,08:11:30,G
2075,0211,0211,08:16:30,08:17:00,G
2077,0211,0211,08:22:00,08:22:30,G
2079,0211,0211,08:27:30,08:28:00,G
2081,0211,0211,08:33:00,08:33:30,G
2083,0211,0211,08:38:30,08:39:00,G
2085,0211,0211,08:44:00,08:44:30,G
2087,0211,0211,08:49:30,08:50:00,G
2089,0211,0211,08:54:00,08:54:30,G
2093,0211,0211,09:00:30,09:01:00,G
2095,0211,0211,09:06:00,09:06:30,G
2097,0211,0211,09:11:30,09:12:00,G
2099,0211,0211,09:17:00,09:17:30,G
2101,0211,0211,09:22:30,09:23:00,G
2103,0211,0211,09:28:00,09:28:30,G
2105,0211,0211,09:33:30,09:34:00,G
2107,0211,0211,09:38:00,09:38:30,G
2111,0211,0211,09:44:30,09:45:00,G
2113,0211,0211,09:50:00,09:50:30,G
2115,0211,0211,09:55:30,09:56:00,G
2117,0211,0211,10:01:00,10:01:30,G
2119,0211,0211,10:06:30,10:07:00,G
2121,0211,0211,10:12:00,10:12:30,G
2123,0211,0211,10:17:30,10:18:00,G
2125,0211,0211,10:23:00,10:23:30,G
2127,0211,0211,10:28:30,10:29:00,G
2129,0211,0211,10:34:00,10:34:30,G
2131,0211,0211,10:39:30,10:40:00,G
2133,0211,0211,10:45:00,10:45:30,G
2135,0211,0211,10:50:30,10:51:00,G
2137,0211,0211,10:56:00,10:56:30,G
2139,0211,0211,11:01:30,11:02:00,G
2141,0211,0211,11:07:00,11:07:30,G
2143,0211,0211,11:12:30,11:13:00,G
2145,0211,0211,11:18:00,11:18:30,G
2147,0211,0211,11:23:30,11:24:00,G
2149,0211,0211,11:29:00,11:29:30,G
2151,0211,0211,11:34:30,11:35:00,G
2153,0211,0211,11:40:00,11:40:30,G
2155,0211,0211,11:45:30,11:46:00,G
2157,0211,0211,11:51:00,11:51:30,G
2159,0211,0211,11:56:30,11:57:00,G
2161,0211,0211,12:02:00,12:02:30,G
2163,0211,0211,12:07:30,12:08:00,G
2165,0211,0211,12:13:00,12:13:30,G
2167,0211,0211,12:18:30,12:19:00,G
2169,0211,0211,12:24:00,12:24:30,G
2171,0211,0211,12:29:30,12:30:00,G
2173,0211,0211,12:35:00,12:35:30,G
2175,0211,0211,12:40:30,12:41:00,G
2177,0211,0211,12:46:00,12:46:30,G
2179,0211,0211,12:51:30,12:52:00,G
2181,0211,0211,12:57:00,12:57:30,G
2183,0211,0211,13:02:30,13:03:00,G
2185,0211,0211,13:08:00,13:08:30,G
2187,0211,0211,13:13:30,13:14:00,G
2189,0211,0211,13:19:00,13:19:30,G
2191,0211,0211,13:24:30,13:25:00,G
2193,0211,0211,13:30:00,13:30:30,G
2195,0211,0211,13:35:30,13:36:00,G
2197,0211,0211,13:41:00,13:41:30,G
2199,0211,0211,13:46:30,13:47:00,G
2201,0211,0211,13:52:00,13:52:30,G
2203,0211,0211,13:57:30,13:58:00,G
2205,0211,0211,14:03:00,14:03:30,G
2207,0211,0211,14:08:30,14:09:00,G
2209,0211,0211,14:14:00,14:14:30,G
2211,0211,0211,14:19:30,14:20:00,G
2213,0211,0211,14:25:00,14:25:30,G
2215,0211,0211,14:30:30,14:31:00,G
2217,0211,0211,14:36:00,14:36:30,G
2219,0211,0211,14:41:30,14:42:00,G
2221,0211,0211,14:47:00,14:47:30,G
2223,0211,0211,14:52:30,14:53:00,G
2225,0211,0211,14:58:00,14:58:30,G
2227,0211,0211,15:04:00,15:04:30,G
2229,0211,0211,15:09:00,15:09:30,G
2231,0211,0211,15:14:30,15:15:00,G
2233,0211,0211,15:20:00,15:20:30,G
2235,0211,0211,15:25:30,15:26:00,G
2237,0211,0211,15:31:00,15:31:30,G
2239,0211,0211,15:36:30,15:37:00,G
2241,0211,0211,15:42:00,15:42:30,G
2243,0211,0211,15:47:30,15:48:00,G
2245,0211,0211,15:53:00,15:53:30,G
2247,0211,0211,15:58:30,15:59:00,G
2251,0211,0211,16:04:00,16:04:30,G
2253,0211,0234,16:09:00,16:09:30,G
2257,0211,0211,16:15:00,16:15:30,G
2259,0211,0211,16:20:30,16:21:00,G
2261,0211,0234,16:26:00,16:26:30,G
2263,0211,0211,16:28:30,16:29:00,G
2265,0211,0211,16:31:30,16:32:00,G
2267,0211,0211,16:37:00,16:37:30,G
2269,0211,0211,16:42:00,16:42:30,G
