TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K902,1019,1909,05:21:00,05:21:30,G
K904,1022,1915,05:32:00,05:32:30,G
K906,1019,1916,05:43:00,05:43:30,G
K908,1022,1915,05:53:00,05:53:30,G
K802,1701,1915,06:01:30,06:02:00,G
S912,0150,1906,06:10:30,06:11:00,G
K804,1701,1916,06:14:30,06:15:00,G
S914,0150,1909,06:20:30,06:21:00,G
K916,1022,1915,06:25:00,06:25:30,G
K806,1701,1916,06:29:30,06:30:00,G
K808,1701,1906,06:35:30,06:36:00,G
K2,1806,1915,06:39:30,06:40:00,G
K4,1812,1915,06:49:00,06:49:30,G
K6,1812,1916,07:00:00,07:00:30,G
K8,1812,1915,07:12:00,07:12:30,G
K10,1812,1915,07:24:00,07:24:30,G
K12,1812,1916,07:36:00,07:36:30,G
K14,1812,1909,07:46:00,07:46:30,G
K16,1812,1915,07:56:00,07:56:30,G
K18,1812,1916,08:09:00,08:09:30,G
K20,1812,1909,08:19:00,08:19:30,G
K22,1812,1915,08:28:00,08:28:30,G
K24,1812,1909,08:37:30,08:38:00,G
K26,1812,1916,08:45:00,08:45:30,G
K28,1812,1909,08:54:00,08:54:30,G
K30,1812,1906,09:04:00,09:04:30,G
K32,1812,1916,09:14:00,09:14:30,G
K34,1812,1909,09:21:00,09:21:30,G
K36,1812,1916,09:30:00,09:30:30,G
K38,1812,1909,09:40:00,09:40:30,G
S40,1812,1906,09:48:00,09:48:30,G
K42,1812,1916,09:57:00,09:57:30,G
K44,1812,1909,10:05:00,10:05:30,G
K50,1812,1916,10:29:00,10:29:30,G
S52,1812,1909,10:38:00,10:38:30,G
K54,1812,1906,10:45:00,10:45:30,G
S56,1812,1909,10:53:00,10:53:30,G
K58,1812,1916,11:01:00,11:01:30,G
K62,1812,1906,11:18:00,11:18:30,G
K66,1812,1916,11:38:00,11:38:30,G
K68,1812,1909,11:48:00,11:48:30,G
K70,1812,1906,11:57:00,11:57:30,G
K72,1812,1916,12:08:00,12:08:30,G
K74,1812,1909,12:17:00,12:17:30,G
K76,1812,1906,12:26:00,12:26:30,G
K78,1812,1916,12:36:00,12:36:30,G
K80,1812,1909,12:46:00,12:46:30,G
S82,1812,1906,12:57:00,12:57:30,G
K84,1812,1916,13:08:00,13:08:30,G
K86,1812,1909,13:18:00,13:18:30,G
K88,1812,1906,13:28:00,13:28:30,G
K90,1812,1916,13:38:00,13:38:30,G
S92,1812,1909,13:47:00,13:47:30,G
K94,1812,1906,13:57:00,13:57:30,G
K96,1812,1916,14:08:00,14:08:30,G
S98,1812,1909,14:18:00,14:18:30,G
K100,1812,1906,14:28:00,14:28:30,G
K102,1812,1916,14:37:00,14:37:30,G
K104,1812,1909,14:47:00,14:47:30,G
K824,1701,1906,14:55:30,14:56:00,G
K108,1812,1916,15:07:00,15:07:30,G
S110,1812,1909,15:17:00,15:17:30,G
K112,1812,1906,15:27:00,15:27:30,G
K114,1812,1916,15:38:00,15:38:30,G
S116,1812,1906,15:48:00,15:48:30,G
K118,1812,1916,15:58:00,15:58:30,G
K120,1812,1909,16:08:00,16:08:30,G
K122,1812,1906,16:17:00,16:17:30,G
K124,1812,1916,16:27:00,16:27:30,G
K126,1812,1909,16:36:00,16:36:30,G
K128,1812,1916,16:46:00,16:46:30,G
K812,1701,1906,16:59:30,17:00:00,G
K132,1812,1916,17:08:30,17:09:00,G
S134,1812,1909,17:17:00,17:17:30,G
K136,1812,1916,17:27:00,17:27:30,G
K814,1701,1906,17:36:30,17:37:00,G
K930,1022,1909,17:43:00,17:43:30,G
K140,1812,1916,17:47:00,17:47:30,G
K142,1812,1915,17:58:00,17:58:30,G
K144,1812,1916,18:08:00,18:08:30,G
K146,1812,1906,18:16:00,18:16:30,G
S148,1812,1909,18:24:00,18:24:30,G
K150,1812,1915,18:32:00,18:32:30,G
S152,1812,1906,18:40:00,18:40:30,G
K154,1812,1916,18:50:00,18:50:30,G
S156,1812,1909,18:57:00,18:57:30,G
K158,1812,1906,19:05:00,19:05:30,G
K160,1812,1916,19:12:30,19:13:00,G
K162,1812,1906,19:22:00,19:22:30,G
K826,1701,1909,19:29:00,19:29:30,G
K166,1812,1915,19:37:00,19:37:30,G
S170,1812,1909,19:53:00,19:53:30,G
K172,1812,1916,20:00:30,20:01:00,G
K174,1812,1906,20:08:00,20:08:30,G
K178,1812,1916,20:23:30,20:24:00,G
K180,1812,1906,20:30:00,20:30:30,G
K182,1812,1909,20:39:00,20:39:30,G
K186,1812,1916,20:57:00,20:57:30,G
K188,1812,1909,21:04:00,21:04:30,G
K192,1812,1916,21:20:00,21:20:30,G
K196,1812,1906,21:37:00,21:37:30,G
K198,1812,1915,21:45:00,21:45:30,G
K200,1812,1909,21:53:00,21:53:30,G
K204,1812,1916,22:05:30,22:06:00,G
K830,1701,1906,22:13:30,22:14:00,G
K208,1812,1909,22:24:00,22:24:30,G
K210,1812,1916,22:34:00,22:34:30,G
K212,1812,1906,22:44:00,22:44:30,G
K218,1812,1916,23:04:00,23:04:30,G
K222,1812,1916,23:24:00,23:24:30,G
K224,1812,1909,23:33:00,23:33:30,G
K228,1812,1916,23:47:00,23:47:30,G
K236,1812,1906,24:20:00,24:20:30,G
