TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K607,1701,1408,05:25:30,05:26:00,G
K401,1701,1749,05:42:00,05:42:30,G
K609,1701,1408,05:52:30,05:53:00,G
S403,0150,1749,06:06:00,06:06:30,G
K611,1701,1408,06:16:30,06:17:00,G
S405,0159,1749,06:28:30,06:29:00,G
K613,1701,1408,06:41:30,06:42:00,G
S407,0159,1749,06:52:30,06:53:00,G
K409,1019,1749,07:04:00,07:04:30,G
K615,1701,1408,07:13:30,07:14:00,G
S411,1019,1749,07:23:00,07:23:30,G
K617,1019,1728,07:34:00,07:34:30,G
S413,0159,1749,07:45:00,07:45:30,G
K619,1019,1408,07:55:00,07:55:30,G
K415,1019,1749,08:03:30,08:04:00,G
K623,0158,1728,08:13:30,08:14:00,G
K417,1019,1749,08:21:00,08:21:30,G
S419,1019,1749,08:29:00,08:29:30,G
K625,0158,1408,08:37:30,08:38:00,G
K421,1019,1749,08:44:00,08:44:30,G
K627,1019,1408,08:52:00,08:52:30,G
S423,1019,1749,09:03:00,09:03:30,G
K629,0158,1728,09:10:30,09:11:00,G
K425,1019,1749,09:19:00,09:19:30,G
K427,0158,1716,09:27:30,09:28:00,G
K631,0158,1408,09:37:00,09:37:30,G
K429,1019,1716,09:49:00,09:49:30,G
K633,0158,1728,09:57:30,09:58:00,G
S431,1019,1749,10:08:00,10:08:30,G
K635,0158,1408,10:20:30,10:21:00,G
S433,1019,1749,10:30:00,10:30:30,G
K637,0158,1728,10:41:30,10:42:00,G
K435,1019,1749,10:50:00,10:50:30,G
K639,0158,1408,10:58:30,10:59:00,G
K437,1019,1749,11:08:30,11:09:00,G
K641,0158,1728,11:18:30,11:19:00,G
K439,0158,1749,11:28:30,11:29:00,G
K643,1019,1408,11:37:00,11:37:30,G
K441,0158,1749,11:48:00,11:48:30,G
K645,0158,1728,11:57:30,11:58:00,G
K443,1019,1749,12:09:30,12:10:00,G
K647,0158,1408,12:20:30,12:21:00,G
K445,1019,1749,12:29:00,12:29:30,G
K649,0158,1728,12:36:30,12:37:00,G
K447,1019,1749,12:49:00,12:49:30,G
K651,0158,1408,12:57:30,12:58:00,G
K449,1019,1749,13:09:00,13:09:30,G
K653,0158,1728,13:19:00,13:19:30,G
K451,1019,1749,13:30:00,13:30:30,G
K655,0158,1408,13:38:30,13:39:00,G
K453,1019,1749,13:49:30,13:50:00,G
K657,0158,1728,13:59:00,13:59:30,G
S455,1019,1749,14:08:00,14:08:30,G
K659,0158,1408,14:18:00,14:18:30,G
S457,1019,1749,14:29:00,14:29:30,G
K661,0158,1728,14:37:30,14:38:00,G
K459,1019,1749,14:46:00,14:46:30,G
K665,0158,1408,14:57:30,14:58:00,G
K461,1019,1749,15:08:30,15:09:00,G
K667,0158,1728,15:18:30,15:19:00,G
K463,1019,1749,15:30:30,15:31:00,G
K669,0158,1408,15:38:30,15:39:00,G
K465,1019,1749,15:50:00,15:50:30,G
K673,0158,1728,15:57:30,15:58:00,G
K467,1019,1749,16:08:00,16:08:30,G
K675,0158,1408,16:16:30,16:17:00,G
K469,1019,1749,16:28:00,16:28:30,G
K677,0158,1728,16:37:30,16:38:00,G
K471,1019,1749,16:47:00,16:47:30,G
K681,0158,1408,16:57:30,16:58:00,G
K473,1019,1749,17:09:30,17:10:00,G
K683,0158,1728,17:17:30,17:18:00,G
K475,1019,1749,17:27:00,17:27:30,G
K685,0158,1408,17:37:00,17:37:30,G
K477,1019,1749,17:49:00,17:49:30,G
K687,0158,1408,17:57:30,17:58:00,G
S479,1019,1749,18:09:00,18:09:30,G
K689,0158,1728,18:16:30,18:17:00,G
K481,1019,1749,18:24:30,18:25:00,G
K691,0158,1408,18:34:30,18:35:00,G
S483,0159,1749,18:43:00,18:43:30,G
K693,1019,1728,18:51:00,18:51:30,G
K485,0158,1749,19:00:30,19:01:00,G
K695,1019,1408,19:07:00,19:07:30,G
K487,0158,1749,19:16:00,19:16:30,G
K697,0158,1728,19:24:30,19:25:00,G
K489,1019,1749,19:34:00,19:34:30,G
K491,1019,1716,19:41:30,19:42:00,G
K699,0158,1408,19:47:30,19:48:00,G
K493,1019,1749,19:58:00,19:58:30,G
K701,0158,1408,20:06:30,20:07:00,G
K495,1019,1749,20:16:00,20:16:30,G
K703,0158,1728,20:24:00,20:24:30,G
K497,1019,1749,20:32:30,20:33:00,G
K705,0158,1408,20:40:30,20:41:00,G
K499,1701,1749,20:49:00,20:49:30,G
K707,0158,1408,20:54:30,20:55:00,G
K501,1019,1716,21:03:00,21:03:30,G
K709,0158,1728,21:11:30,21:12:00,G
K503,1019,1749,21:20:30,21:21:00,G
K711,0158,1728,21:27:30,21:28:00,G
K505,1019,1749,21:35:00,21:35:30,G
K713,0158,1408,21:41:30,21:42:00,G
K507,1019,1716,21:49:00,21:49:30,G
K509,0158,1716,21:56:30,21:57:00,G
S511,1019,1749,22:05:00,22:05:30,G
K715,0158,1716,22:13:30,22:14:00,G
S513,0159,1749,22:24:00,22:24:30,G
K719,0158,1728,22:35:30,22:36:00,G
S515,1019,1749,22:43:00,22:43:30,G
K721,0158,1408,22:54:00,22:54:30,G
K517,1019,1749,23:03:00,23:03:30,G
K723,0158,1728,23:13:30,23:14:00,G
K519,0158,1716,23:28:00,23:28:30,G
K521,1019,1749,23:52:00,23:52:30,G
K523,1019,1716,24:07:00,24:07:30,G
